--- Starting Training ---
Episode   61 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03189 | Epsilon: 0.538
Episode   62 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01923 | Epsilon: 0.533
Episode   63 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01943 | Epsilon: 0.527
Episode   64 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01708 | Epsilon: 0.522
Episode   65 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01709 | Epsilon: 0.517
Episode   66 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01688 | Epsilon: 0.512
Episode   67 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01684 | Epsilon: 0.507
Episode   68 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01818 | Epsilon: 0.502
Episode   69 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01336 | Epsilon: 0.497
Episode   70 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01606 | Epsilon: 0.492
Episode   71 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01606 | Epsilon: 0.487
Episode   72 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01743 | Epsilon: 0.482
Episode   73 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01852 | Epsilon: 0.477
Episode   74 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01715 | Epsilon: 0.472
Episode   75 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01556 | Epsilon: 0.468
Episode   76 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01771 | Epsilon: 0.463
Episode   77 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01499 | Epsilon: 0.458
Episode   78 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01559 | Epsilon: 0.454
Episode   79 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01497 | Epsilon: 0.449
Episode   80 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01724 | Epsilon: 0.445
Episode 80: Target network updated.
Episode   81 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02837 | Epsilon: 0.440
Episode   82 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01862 | Epsilon: 0.436
Episode   83 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02163 | Epsilon: 0.432
Episode   84 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02196 | Epsilon: 0.427
Episode   85 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02164 | Epsilon: 0.423
Episode   86 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02066 | Epsilon: 0.419
Episode   87 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02061 | Epsilon: 0.415
Episode   88 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01907 | Epsilon: 0.411
Episode   89 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02614 | Epsilon: 0.407
Episode   90 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01966 | Epsilon: 0.403
Episode   91 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02331 | Epsilon: 0.399
Episode   92 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02137 | Epsilon: 0.395
Episode   93 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02254 | Epsilon: 0.391
Episode   94 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02317 | Epsilon: 0.387
Episode   95 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01904 | Epsilon: 0.383
Episode   96 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02535 | Epsilon: 0.379
Episode   97 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02681 | Epsilon: 0.375
Episode   98 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02544 | Epsilon: 0.372
Episode   99 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02390 | Epsilon: 0.368
Episode  100 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02408 | Epsilon: 0.364
Episode 100: Target network updated.
Episode  101 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03501 | Epsilon: 0.361
Episode  102 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03017 | Epsilon: 0.357
Episode  103 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03398 | Epsilon: 0.353
Episode  104 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02611 | Epsilon: 0.350
Episode  105 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02901 | Epsilon: 0.346
Episode  106 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02691 | Epsilon: 0.343
Episode  107 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02242 | Epsilon: 0.340
Episode  108 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01958 | Epsilon: 0.336
Episode  109 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02407 | Epsilon: 0.333
Episode  110 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02200 | Epsilon: 0.330
Episode  111 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02694 | Epsilon: 0.326
Episode  112 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02823 | Epsilon: 0.323
Episode  113 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02867 | Epsilon: 0.320
Episode  114 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02708 | Epsilon: 0.317
Episode  115 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02608 | Epsilon: 0.314
Episode  116 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02489 | Epsilon: 0.310
Episode  117 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02824 | Epsilon: 0.307
Episode  118 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02830 | Epsilon: 0.304
Episode  119 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02876 | Epsilon: 0.301
Episode  120 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02496 | Epsilon: 0.298
Episode 120: Target network updated.
Episode  121 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03892 | Epsilon: 0.295
Episode  122 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03103 | Epsilon: 0.292
Episode  123 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02871 | Epsilon: 0.289
Episode  124 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03346 | Epsilon: 0.287
Episode  125 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03347 | Epsilon: 0.284
Episode  126 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03111 | Epsilon: 0.281
Episode  127 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03257 | Epsilon: 0.278
